Entity,Type,Town,ZIP,County,Contact Name,Email,Phone,Subject Line,Priority Tier,Est Revenue,Website,Notes,Status
Niles Township,Township,"5255 Main St, Skokie, IL 60077",60077,Cook,Township Highway Commissioner / Supervisor,,(847) 673-9300,Exterior Maintenance Services — Niles Township,D,"$3,000",,"Communities Served: Skokie, Lincolnwood, Morton Grove, Niles, Golf; Buildings: Township office, road district facility",Phone First
Maine Township,Township,"1700 Ballard Rd, Park Ridge, IL 60068",60068,Cook,Township Highway Commissioner / Supervisor,,(847) 297-2510,Exterior Maintenance Services — Maine Township,D,"$3,000",,"Communities Served: Park Ridge, Des Plaines, Niles, Morton Grove, Glenview; Buildings: Township Town Hall, road district garage, emergency food pantry building",Phone First
Evanston Township,Township,"2100 Ridge Ave, Evanston, IL 60201",60201,Cook,"John Crawford, Director of Operations",crawfordj@eths202.org,(847) 424-7405,Exterior Maintenance Services — Evanston Township,D,"$3,000",,Communities Served: Evanston; Buildings: Township office (assessor office),Ready to Send
Elk Grove Township,Township,"2400 S Arlington Heights Rd, Arlington Heights, IL 60005",60004,Cook,Township Highway Commissioner / Supervisor,info@fosterpremier.com,(847) 437-0300,Exterior Maintenance Services — Elk Grove Township,D,"$3,000",https://fosterpremier.com/contact-us/proposal-request/,"Communities Served: Arlington Heights, Elk Grove Village, Mount Prospect, Rolling Meadows; Buildings: Township office, road district facility, food pantry",Ready to Send
Wheeling Township,Township,"1616 N Arlington Heights Rd, Arlington Heights, IL 60004",60004,Cook,Township Highway Commissioner / Supervisor,,(847) 259-7730,Exterior Maintenance Services — Wheeling Township,D,"$3,000",,"Communities Served: Wheeling, Buffalo Grove, Prospect Heights, Arlington Heights (portion); Buildings: Township office, road district garage",Phone First
Palatine Township,Township,"721 S Quentin Rd, Palatine, IL 60067",60067,Cook,Township Highway Commissioner / Supervisor,,(847) 358-6700,Exterior Maintenance Services — Palatine Township,D,"$3,000",,"Communities Served: Palatine, Rolling Meadows, Inverness, South Barrington, Hoffman Estates (portion); Buildings: Township Town Hall, road district facility, food pantry",Phone First
Schaumburg Township,Township,"25 Illinois Blvd, Hoffman Estates, IL 60169",60169,Cook,Township Highway Commissioner / Supervisor,,(847) 884-0030,Exterior Maintenance Services — Schaumburg Township,D,"$3,000",,"Communities Served: Schaumburg, Hoffman Estates, Hanover Park (portion), Streamwood (portion); Buildings: Township office, MaineStreamers building, food pantry",Phone First
Barrington Township,Township,"200 S Hough St, Barrington, IL 60010",60010,Cook,Township Highway Commissioner / Supervisor,,(847) 381-5632,Exterior Maintenance Services — Barrington Township,D,"$3,000",,"Communities Served: Barrington, Barrington Hills, South Barrington, North Barrington, Deer Park, Inverness, Lake Barrington; Buildings: Township office",Phone First
Moraine Township,Township,"800 Central Ave, Highland Park, IL 60035",60035,Lake,Township Highway Commissioner / Supervisor,,(847) 432-3240,Exterior Maintenance Services — Moraine Township,D,"$3,000",,"Communities Served: Highland Park, Highwood, Bannockburn, Fort Sheridan; Buildings: Township office, road district garage, general assistance office",Phone First
Shields Township,Township,"906 W Muir Ave, Lake Bluff, IL 60044",60044,Lake,Township Highway Commissioner / Supervisor,,(847) 234-0802,Exterior Maintenance Services — Shields Township,D,"$3,000",,"Communities Served: Lake Forest, Lake Bluff, Knollwood, Green Oaks; Buildings: Township office, road district garage",Phone First
Deerfield Township,Township,"Deerfield, IL",60015,Lake,Township Highway Commissioner / Supervisor,,(847) 945-0614,Exterior Maintenance Services — Deerfield Township,D,"$3,000",,"Communities Served: Deerfield, Riverwoods, Bannockburn (portion); Buildings: Township office, road district facility",Phone First
Vernon Township,Township,"3050 N Main St, Prairie View, IL 60069",60069,Lake,Township Highway Commissioner / Supervisor,,(847) 634-4600,Exterior Maintenance Services — Vernon Township,D,"$3,000",,"Communities Served: Vernon Hills, Libertyville, Mundelein, Indian Creek, Mettawa, Prairie View; Buildings: Township office, road district garage, food pantry",Phone First
Ela Township,Township,"95 E Main St, Lake Zurich, IL 60047",60047,Lake,Township Highway Commissioner / Supervisor,,(847) 438-7823,Exterior Maintenance Services — Ela Township,D,"$3,000",,"Communities Served: Lake Zurich, Hawthorn Woods, Kildeer, Long Grove, Deer Park, North Barrington; Buildings: Township office, road district garage, food pantry",Phone First
West Deerfield Township,Township,"601 Deerfield Rd Suite 100, Deerfield, IL 60015",60015,Lake,Township Highway Commissioner / Supervisor,,(847) 945-0614,Exterior Maintenance Services — West Deerfield Township,D,"$3,000",,"Communities Served: Deerfield, Lincolnshire, Riverwoods, Bannockburn; Buildings: Township office",Phone First
Libertyville Township,Township,"359 Merrill Ct, Libertyville, IL 60048",60048,Lake,Township Highway Commissioner / Supervisor,,(847) 816-6800,Exterior Maintenance Services — Libertyville Township,D,"$3,000",,"Communities Served: Libertyville, Green Oaks, Mettawa; Buildings: Township office, road district garage",Phone First
Waukegan Township,Township,"1 N Genesee St, Waukegan, IL 60085",60085,Lake,Township Highway Commissioner / Supervisor,,(847) 244-0444,Exterior Maintenance Services — Waukegan Township,D,"$3,000",,"Communities Served: Waukegan, Park City; Buildings: Township office, road district garage, general assistance office",Phone First
Benton Township,Township,"Zion, IL",60099,Lake,Township Highway Commissioner / Supervisor,,(847) 746-2090,Exterior Maintenance Services — Benton Township,D,"$3,000",,"Communities Served: Zion, Beach Park, Winthrop Harbor; Buildings: Township office, road district garage",Phone First
Newport Township,Township,"19020 W Grass Lake Rd, Old Mill Creek, IL 60046",60046,Lake,Township Highway Commissioner / Supervisor,,(847) 395-3400,Exterior Maintenance Services — Newport Township,D,"$3,000",,"Communities Served: Wadsworth, Old Mill Creek, Gurnee (portion); Buildings: Township office, road district facility",Phone First
Warren Township,Township,"17801 W Washington St, Gurnee, IL 60031",60031,Lake,Township Highway Commissioner / Supervisor,askus@wnpl.info,(847) 244-5150,Exterior Maintenance Services — Warren Township,D,"$3,000",,"Communities Served: Gurnee, Wadsworth, Beach Park (portion); Buildings: Township office, road district garage, food pantry",Ready to Send
Avon Township,Township,"33858 N US-45, Grayslake, IL 60030",60030,Lake,Township Highway Commissioner / Supervisor,,(847) 546-1446,Exterior Maintenance Services — Avon Township,D,"$3,000",,"Communities Served: Round Lake, Grayslake, Hainesville, Third Lake, Round Lake Beach, Round Lake Heights, Round Lake Park; Buildings: Township office, road district garage, food pantry",Phone First
Antioch Township,Township,"571 Main St, Antioch, IL 60002",60002,Lake,Township Highway Commissioner / Supervisor,,(847) 395-3388,Exterior Maintenance Services — Antioch Township,D,"$3,000",,"Communities Served: Antioch, Lake Villa, Lindenhurst; Buildings: Township office, road district garage, senior center",Phone First
Grant Township,Township,"27W550 North Ave, West Chicago, IL",60601,Lake,Township Highway Commissioner / Supervisor,,(847) 587-2611,Exterior Maintenance Services — Grant Township,D,"$3,000",,"Communities Served: Fox Lake, Ingleside, Volo; Buildings: Township office, road district garage",Phone First
Fremont Township,Township,"22385 N IL-60, Mundelein, IL 60060",60060,Lake,Township Highway Commissioner / Supervisor,,(847) 566-2030,Exterior Maintenance Services — Fremont Township,D,"$3,000",,"Communities Served: Mundelein (portion), Fremont Center; Buildings: Township office, road district garage, food pantry",Phone First
Cuba Township,Township,"28000 W Cuba Rd, Barrington, IL 60010",60010,Lake,Township Highway Commissioner / Supervisor,,(847) 381-1924,Exterior Maintenance Services — Cuba Township,D,"$3,000",,"Communities Served: Barrington (Lake portion), Lake Barrington, Tower Lakes; Buildings: Township office, road district garage",Phone First
Wauconda Township,Township,"505 Bonner Rd, Wauconda, IL 60084",60084,Lake,Township Highway Commissioner / Supervisor,,(847) 526-2631,Exterior Maintenance Services — Wauconda Township,D,"$3,000",,"Communities Served: Wauconda, Island Lake, Lakemoor; Buildings: Township office, road district garage",Phone First
Skokie Public Library,Library District,Skokie,60077,Cook,Library Director / Facilities,tellus@skokielibrary.info,(847) 673-7774,Building Exterior Cleaning — Skokie Public Library,D,"$3,000",https://www.amres.co/,Facilities: Main library building,Ready to Send
Arlington Heights Memorial Library,Library District,Arlington Heights Memorial Library,60004,Cook,Library Director / Facilities,churchcreek@tutera.com,(847) 506-3200,Building Exterior Cleaning — Arlington Heights Memorial Library,D,"$3,000",https://www.mcgillmanagement.com/contact,Facilities: Large main library (one of busiest in US) | Managed by: Unknown,Ready to Send
Palatine Public Library District,Library District,Palatine,60067,Cook,Library Director / Facilities,palatine@palatinelibrary.org,(847) 907-3600,Building Exterior Cleaning — Palatine Public Library District,D,"$3,000",,Facilities: Main library + North branch,Ready to Send
Des Plaines Public Library,Library District,Des Plaines,60016,Cook,Library Director / Facilities,help@dppl.org,(847) 827-5551,Building Exterior Cleaning — Des Plaines Public Library,D,"$3,000",,Facilities: Main library building,Ready to Send
Park Ridge Public Library,Library District,Park Ridge,60068,Cook,Library Director / Facilities,managers@prcapts.com,(847) 744-9052,Building Exterior Cleaning — Park Ridge Public Library,D,"$3,000",,Facilities: Main library building,Ready to Send
Northbrook Public Library,Library District,Northbrook,60062,Cook,Library Director / Facilities,reference@northbrook.info,(847) 272-6224,Building Exterior Cleaning — Northbrook Public Library,D,"$3,000",,Facilities: Main library building,Ready to Send
Elk Grove Village Public Library,Library District,Elk Grove Village,60007,Cook,Library Director / Facilities,info@fosterpremier.com,847-459-1222,Building Exterior Cleaning — Elk Grove Village Public Library,D,"$3,000",https://fosterpremier.com/contact-us/proposal-request/,Facilities: Main library building,Ready to Send
Morton Grove Public Library,Library District,Morton Grove,60053,Cook,Library Director / Facilities,info@fosterpremier.com,847-459-1222,Building Exterior Cleaning — Morton Grove Public Library,D,"$3,000",https://fosterpremier.com/contact-us/proposal-request/,Facilities: Main library building,Ready to Send
Buffalo Grove - Indian Trails Library,Library District,Buffalo Grove - Indian Trails Library,60089,Cook/Lake,Library Director / Facilities,info@fosterpremier.com,847-459-1222,Building Exterior Cleaning — Buffalo Grove - Indian Trails Library,D,"$3,000",https://fosterpremier.com/contact-us/proposal-request/,Facilities: Shared with Indian Trails,Ready to Send
Highland Park Public Library,Library District,Highland Park,60035,Lake,Library Director / Facilities,hppla@hplibrary.org,847-926-4208,Building Exterior Cleaning — Highland Park Public Library,D,"$3,000",,Facilities: Main library building,Ready to Send
Lake Forest Library,Library District,Lake Forest Library,60045,Lake,Library Director / Facilities,,224-880-5742,Building Exterior Cleaning — Lake Forest Library,D,"$3,000",,Facilities: Main library building,Phone First
Vernon Area Public Library District,Library District,Vernon,60061,Lake,Library Director / Facilities,ris@vapld.info,(847) 634-3650,Building Exterior Cleaning — Vernon Area Public Library District,D,"$3,000",,Facilities: Main library building (Lincolnshire),Ready to Send
Mundelein Community Library (Fremont PLD),Library District,Mundelein Community Library (Fremont PLD),60060,Lake,Library Director / Facilities,info@cai-illinois.org,(847) 301-7505,Building Exterior Cleaning — Mundelein Community Library (Fremont PLD),D,"$3,000",https://www.caionline.org/JoinNow/Pages/default.aspx,Facilities: Main library building,Ready to Send
Gurnee - Warren-Newport Public Library,Library District,Gurnee - Warren-Newport,60031,Lake,Library Director / Facilities,askus@wnpl.info,(847) 244-5150,Building Exterior Cleaning — Gurnee - Warren-Newport Public Library,D,"$3,000",,Facilities: Main library building,Ready to Send
Waukegan Public Library,Library District,Waukegan,60085,Lake,Library Director / Facilities,tiffanyverzani@waukeganpl.info,(847) 623-2041,Building Exterior Cleaning — Waukegan Public Library,D,"$3,000",,Facilities: Main library + branches,Ready to Send
North Chicago Public Library,Library District,North Chicago,60064,Lake,Library Director / Facilities,HelpMeChicagoland@associa.us,847-490-3833,Building Exterior Cleaning — North Chicago Public Library,D,"$3,000",https://www.cbre.com/about-us/contact-us,"Facilities: Main library building | Key contacts: AskUs@associa.us, Michele.Trina@associachicagoland.com., erica.horndasch@associa.us.",Ready to Send
Associa Chicagoland (fka Lieberman Management),HOA/Condo Association,"Schaumburg, IL",60173,,Property Manager / VP Operations,HelpMeChicagoland@associa.us,847-490-3833,Exterior Maintenance for Associa Chicagoland (fka Lieberman Management),C,"$5,000",https://www.caionline.org/JoinNow/Pages/default.aspx,"Coverage: North Shore, NW suburbs, Lake County; Est. Properties Managed: 200+ associations | Key contacts: AskUs@associa.us, Michele.Trina@associachicagoland.com., erica.horndasch@associa.us.",Ready to Send
FirstService Residential (FS Residential Illinois),HOA/Condo Association,"Highland Park, Glenview",60035,,Property Manager / VP Operations,info@realmanage.com,847-459-0000,Exterior Maintenance for FirstService Residential (FS Residential Illinois),C,"$5,000",,"Coverage: North Shore, northern Cook & Lake County; Est. Properties Managed: 150+ associations",Ready to Send
RealManage Illinois,HOA/Condo Association,Chicago metro,60601,,Property Manager / VP Operations,info@realmanage.com,847-459-0000,Exterior Maintenance for RealManage Illinois,C,"$5,000",https://www.caionline.org/JoinNow/Pages/default.aspx,Coverage: Cook & Lake County suburbs; Est. Properties Managed: 100+ associations,Ready to Send
Hillcrest Property Management,HOA/Condo Association,"Des Plaines, IL",60016,,Property Manager / VP Operations,info@hillcrestmgmt.com,312-751-0900,Exterior Maintenance for Hillcrest Property Management,C,"$5,000",https://www.mcgillmanagement.com/contact,"Coverage: Northwest suburbs, Des Plaines, Park Ridge, Niles area; Est. Properties Managed: 50+ associations",Ready to Send
Sudler Property Management,HOA/Condo Association,Chicago/suburbs,60601,,Property Manager / VP Operations,info@hillcrestmgmt.com,312-751-0900,Exterior Maintenance for Sudler Property Management,C,"$5,000",https://www.mcgillmanagement.com/contact,Coverage: North suburbs; Est. Properties Managed: 100+ associations,Ready to Send
Chicago Property Services,HOA/Condo Association,Chicagoland,60601,,Property Manager / VP Operations,HelpMeChicagoland@associa.us,847-490-3833,Exterior Maintenance for Chicago Property Services,C,"$5,000",https://www.cbre.com/about-us/contact-us,"Coverage: Northern suburbs; Est. Properties Managed: 75+ associations | Key contacts: AskUs@associa.us, Michele.Trina@associachicagoland.com., erica.horndasch@associa.us.",Ready to Send
Worsek & Vihon (MCG),HOA/Condo Association,"Buffalo Grove, IL",60089,,Property Manager / VP Operations,,312-368-0091,Exterior Maintenance for Worsek & Vihon (MCG),C,"$5,000",,"Coverage: NW suburbs, Lake County; Est. Properties Managed: 50+ associations",Phone First
Property Specialists Inc.,HOA/Condo Association,"Des Plaines, IL",60016,,Property Manager / VP Operations,info@psimanagement.net,312-751-0900,Exterior Maintenance for Property Specialists Inc.,C,"$5,000",,"Coverage: NW suburbs, Cook County; Est. Properties Managed: 50+ associations",Ready to Send
Nimrod Realty Group,Property Manager,"Skokie, IL",60077,,Property Manager / VP Operations,propertymanagement@inlandgroup.com,(630) 218-8000,Vendor Introduction — Commercial Exterior Cleaning,A,"$20,000",https://www.inlandgroup.com/contact-us,"Coverage: North Shore, Skokie, Evanston, Niles; Est. Properties Managed: Multi-family & condo | Key contacts: propertymanagement@inlandgroup.com., YouMatter@inlandresidentialrealestate.com",Ready to Send
TruHaven Homes,HOA/Condo Association,North Shore,60091,,Property Manager / VP Operations,tenants@truhavenonline.com,847-302-2644,Exterior Maintenance for TruHaven Homes,C,"$5,000",,Coverage: Communities with 50 units and under; Est. Properties Managed: Small associations,Ready to Send
KM Realty Group,HOA/Condo Association,Chicago metro,60601,,Property Manager / VP Operations,propertymanagement@inlandgroup.com,(630) 218-8000,Exterior Maintenance for KM Realty Group,C,"$5,000",https://www.inlandgroup.com/contact-us,"Coverage: Northern suburbs; Est. Properties Managed: Various | Key contacts: propertymanagement@inlandgroup.com., YouMatter@inlandresidentialrealestate.com",Ready to Send
Woodfield Mall,Shopping Center,Schaumburg,60173,,Property Manager / Facilities,,847-330-0220,Exterior Cleaning Services — Woodfield Mall,A,"$15,000",,"2.7M sq ft, 300+ stores, one of largest malls in US | Managed by: Simon Property Group",Phone First
Woodfield Village Green,Shopping Center,Schaumburg,60173,,Property Manager / Facilities,,(847) 908-5320,Exterior Cleaning Services — Woodfield Village Green,A,"$15,000",,Strip center with outlets,Phone First
Northbrook Court,Shopping Center,Northbrook,60062,,Property Manager / Facilities,,847-498-8161,Exterior Cleaning Services — Northbrook Court,A,"$15,000",,"90+ specialty stores, anchored by Neiman Marcus, Macy's | Managed by: Brookfield Properties",Phone First
Hawthorn Mall,Shopping Center,Vernon Hills,60061,,Property Manager / Facilities,,847-362-2600,Exterior Cleaning Services — Hawthorn Mall,A,"$15,000",,"Super-regional mall, Macy's, Carson's, JCPenney anchors | Managed by: Centennial Real Estate",Phone First
Gurnee Mills,Shopping Center,Gurnee,60031,,Property Manager / Facilities,,847-263-2414,Exterior Cleaning Services — Gurnee Mills,A,"$15,000",,"1.7M sq ft, 200+ stores, largest outlet mall in IL | Managed by: Simon Property Group",Phone First
Westfield Old Orchard,Shopping Center,Skokie,60077,,Property Manager / Facilities,,847-673-6800,Exterior Cleaning Services — Westfield Old Orchard,A,"$15,000",,"1.8M sq ft, Nordstrom, Macy's, Bloomingdale's | Managed by: Unibail-Rodamco-Westfield (URW)",Phone First
Randhurst Village,Shopping Center,Mount Prospect,60056,,Property Manager / Facilities,,847-259-0500,Exterior Cleaning Services — Randhurst Village,A,"$15,000",,"Large open-air retail center, 75+ stores | Managed by: DLC Management Corp",Phone First
Deer Park Town Center,Shopping Center,Deer Park/Kildeer,60010,,Property Manager / Facilities,info@shopdeerparktowncenter.com,847-726-7755,Exterior Cleaning Services — Deer Park Town Center,A,"$15,000",,"Premium outdoor shopping, 90+ stores",Ready to Send
Arlington Town Square,Shopping Center,Arlington Heights,60004,,Property Manager / Facilities,,312-341-9000,Exterior Cleaning Services — Arlington Town Square,A,"$15,000",https://www.mcgillmanagement.com/contact,"Downtown mixed retail center | Managed by: Abbell Associates, LLC",Phone First
Deerfield Square,Shopping Center,Deerfield,60015,,Property Manager / Facilities,,847-948-6500,Exterior Cleaning Services — Deerfield Square,A,"$15,000",,"200K sq ft retail + 60K sq ft office | Managed by: CRM Properties Group, LTD.",Phone First
Market Square Lake Forest,Shopping Center,Lake Forest,60045,,Property Manager / Facilities,,224-880-5742,Exterior Cleaning Services — Market Square Lake Forest,A,"$15,000",,Historic luxury shopping center,Phone First
Highland Park Renaissance Place,Shopping Center,Highland Park,60035,,Property Manager / Facilities,,847-926-4208,Exterior Cleaning Services — Highland Park Renaissance Place,A,"$15,000",,Mixed-use retail center,Phone First
Edens Plaza,Shopping Center,Wilmette,60091,,Property Manager / Facilities,info@wsdevelopment.com,,Exterior Cleaning Services — Edens Plaza,A,"$15,000",,Major strip center along Edens Expressway | Managed by: WS Development,Ready to Send
Plaza del Lago,Shopping Center,Wilmette,60091,,Property Manager / Facilities,info@wsdevelopment.com,847-449-5587,Exterior Cleaning Services — Plaza del Lago,A,"$15,000",,Mediterranean-style shopping center | Managed by: WS Development,Ready to Send
Crossroads Shopping Center,Shopping Center,Lake Zurich/Barrington,60047,,Property Manager / Facilities,,847-699-1070,Exterior Cleaning Services — Crossroads Shopping Center,A,"$15,000",,Retail center at major intersection | Managed by: Sterling Organization,Phone First
Golf Mill Shopping Center,Shopping Center,Niles,60714,,Property Manager / Facilities,,847-699-1070,Exterior Cleaning Services — Golf Mill Shopping Center,A,"$15,000",,Enclosed mall with major retailers | Managed by: Sterling Organization,Phone First
Village Crossing,Shopping Center,Skokie,60077,,Property Manager / Facilities,,847-364-1380,Exterior Cleaning Services — Village Crossing,A,"$15,000",,Large power center with big-box retailers | Managed by: SITE Centers / Fairbourne Properties,Phone First
Lincolnshire Commons,Shopping Center,Lincolnshire,60069,,Property Manager / Facilities,,847-418-9898,Exterior Cleaning Services — Lincolnshire Commons,A,"$15,000",,Retail center,Phone First
Elk Grove Village Business/Industrial Park,Industrial Park,Elk Grove Village,60007,,Property Manager / Facilities,info@fosterpremier.com,(847) 843-2121,Facility Cleaning Services — Elk Grove Village,B,"$8,000",https://fosterpremier.com/contact-us/proposal-request/,"LARGEST in North America - 6 sq mi, 62M sq ft, 3,600+ businesses",Ready to Send
Elk Grove Technology Park,Industrial Park,Elk Grove Village,60007,,Property Manager / Facilities,info@fosterpremier.com,847-459-1222,Facility Cleaning Services — Elk Grove Village,B,"$8,000",https://fosterpremier.com/contact-us/proposal-request/,85-acre high-tech campus,Ready to Send
Vernon Hills industrial/office flex,Industrial Park,Vernon Hills,60061,,Property Manager / Facilities,439.frontdesk@hhmhotels.com,(847) 634-9300,Facility Cleaning Services — Vernon Hills,B,"$8,000",,Route 45/60 corridor,Ready to Send
CBRE Group,Other Commercial,Chicago office / serves suburbs,60601,,Property Manager / Facilities,propertymanagement@inlandgroup.com,(630) 218-8000,Commercial Exterior Maintenance — CBRE Group,C,"$5,000",https://www.inlandgroup.com/contact-us,"World's largest CRE firm - manages millions of sq ft in suburbs | Key contacts: propertymanagement@inlandgroup.com., YouMatter@inlandresidentialrealestate.com",Ready to Send
Cushman & Wakefield,Other Commercial,Chicago HQ / serves suburbs,60601,,Property Manager / Facilities,,+1 312 470 1800,Commercial Exterior Maintenance — Cushman & Wakefield,C,"$5,000",https://www.cushmanwakefield.com/en/inquire,"650+ Chicago employees, manages suburban portfolio",Phone First
NAI Hiffman,Other Commercial,Oakbrook Terrace / serves NW suburbs,60181,,Property Manager / Facilities,info@hiffman.com,630-932-1234,Commercial Exterior Maintenance — NAI Hiffman,C,"$5,000",https://hiffman.com/contact/,"Major suburban CRE firm - 50M+ sq ft managed in Chicago suburbs | Key contacts: cszarzynski@hiffman.com., mflynn@hiffman.com.",Ready to Send
Inland Western (now InvenTrust),Other Commercial,Oak Brook / north suburbs,60523,,Property Manager / Facilities,propertymanagement@inlandgroup.com,(630) 218-8000,Commercial Exterior Maintenance — Inland Western (now InvenTrust),C,"$5,000",https://www.inlandgroup.com/contact-us,"Manages retail centers in suburbs | Key contacts: propertymanagement@inlandgroup.com., YouMatter@inlandresidentialrealestate.com",Ready to Send
Mid-America Real Estate,Other Commercial,Oakbrook / serves north suburbs,60523,,Property Manager / Facilities,propertymanagement@inlandgroup.com,(630) 218-8000,Commercial Exterior Maintenance — Mid-America Real Estate,C,"$5,000",https://www.inlandgroup.com/contact-us,"Manages and leases retail properties in suburbs | Key contacts: propertymanagement@inlandgroup.com., YouMatter@inlandresidentialrealestate.com",Ready to Send
Arlington Glen Condominiums,HOA/Condo Association,Arlington Heights,60004,Cook,,,847-342-9538,Exterior Maintenance for Arlington Glen Condominiums,C,"$5,000",https://www.mcgillmanagement.com/contact,256-unit condo community; converted from Candlewood Apartments in the 1990s by Inland Great Lakes Real Estate | Managed by: Northwest Property & Financial Management Corp,Phone First
Arlington Plaza Condominiums,HOA/Condo Association,Arlington Heights,60004,Cook,,,847-342-9538,Exterior Maintenance for Arlington Plaza Condominiums,C,"$5,000",https://www.mcgillmanagement.com/contact,Condominium complex built in the late 1970s | Managed by: Northwest Property & Financial Management Corp,Phone First
Metropolis Arlington Heights,HOA/Condo Association,Arlington Heights,60004,Cook,,churchcreek@tutera.com,(847) 506-3200,Exterior Maintenance for Metropolis Arlington Heights,C,"$5,000",https://www.mcgillmanagement.com/contact,Condominium complex with retail/offices on first floor; built 2000; 1 S. Highland Avenue in downtown Arlington Heights | Managed by: Unknown,Ready to Send
Brandenberry Park Condos,HOA/Condo Association,Arlington Heights,60004,Cook,,,847-577-5410,Exterior Maintenance for Brandenberry Park Condos,C,"$5,000",,Condo community built in the late 1970s; east of Rand Road and north of Oakton Street | Managed by: Self-managed (Manager: Debbie Citro),Phone First
Arlington Grove Townhomes,HOA/Condo Association,Arlington Heights,60004,Cook,,info@fosterpremier.com,847-459-1222,Exterior Maintenance for Arlington Grove Townhomes,C,"$5,000",https://fosterpremier.com/contact-us/proposal-request/,Townhouse community built in early 1990s; on Rand west of Arlington Heights Road,Ready to Send
Geimers Grove Condos,HOA/Condo Association,Arlington Heights,60004,Cook,,info@fosterpremier.com,847-459-1222,Exterior Maintenance for Geimers Grove Condos,C,"$5,000",https://fosterpremier.com/contact-us/proposal-request/,"Condo community built 2003; on Carriageway south of Dundee Rd, east of Arlington Heights Rd",Ready to Send
Triumvera Tower Condominiums,HOA/Condo Association,Glenview,60025,Cook,,,847-827-2117,Exterior Maintenance for Triumvera Tower Condominiums,C,"$5,000",,107 units on 16 stories built in 1977; with surrounding townhouses and condominiums | Managed by: Self-managed (on-site office),Phone First
Gregg's Landing North HOA,HOA/Condo Association,Vernon Hills,60061,Lake,,Kim@mcgillmanagement.com,847-259-1331,Exterior Maintenance for Gregg's Landing North HOA,C,"$5,000",glnhoa.com,"Part of 813-acre planned community with 1,305 residential properties in 20 neighborhoods | Managed by: McGill Management, Inc.",Ready to Send
Gregg's Landing South,HOA/Condo Association,Vernon Hills,60061,Lake,,Kim@mcgillmanagement.com,847-259-1331,Exterior Maintenance for Gregg's Landing South,C,"$5,000",,"399 units; part of Gregg's Landing planned community | Managed by: McGill Management, Inc.",Ready to Send
Grosse Point Carriages,HOA/Condo Association,Vernon Hills,60061,Lake,,,630-653-7782,Exterior Maintenance for Grosse Point Carriages,C,"$5,000",,"256 condo units in Vernon Hills | Managed by: Association Partners, Inc.",Phone First
New Century Manor Homes #1,HOA/Condo Association,Vernon Hills,60061,Lake,,,847-259-1331,Exterior Maintenance for New Century Manor Homes #1,C,"$5,000",,276 townhome units; Managed by McGill Management,Phone First
New Century Manor Homes #2,HOA/Condo Association,Vernon Hills,60061,Lake,,,847-259-1331,Exterior Maintenance for New Century Manor Homes #2,C,"$5,000",,112 townhome units; Managed by McGill Management,Phone First
Village Green Vernon Hills,HOA/Condo Association,Vernon Hills,60061,Lake,,439.frontdesk@hhmhotels.com,(847) 634-9300,Exterior Maintenance for Village Green Vernon Hills,C,"$5,000",,Gated residential community in Vernon Hills,Ready to Send
Towne Place Condominium Association,HOA/Condo Association,Schaumburg,60173,Cook,,info@cai-illinois.org,(847) 301-7505,Exterior Maintenance for Towne Place Condominium Association,C,"$5,000",https://www.caionline.org/JoinNow/Pages/default.aspx,Condo and townhouse community built 1985-1999 by Lexington Homes; HOA fees $213-$422/month,Ready to Send
Schaumburg Terrace Condominium Association,HOA/Condo Association,Schaumburg,60173,Cook,,info@cai-illinois.org,(847) 301-7505,Exterior Maintenance for Schaumburg Terrace Condominium Association,C,"$5,000",https://www.caionline.org/JoinNow/Pages/default.aspx,Condominium association in Schaumburg,Ready to Send
Palatine Commons Townhome Association,HOA/Condo Association,Palatine,60067,Cook,,info@cai-illinois.org,(847) 301-7505,Exterior Maintenance for Palatine Commons Townhome Association,C,"$5,000",https://www.caionline.org/JoinNow/Pages/default.aspx,Townhome community; managed by Mperial Asset Management,Ready to Send
Evanston Terraces Condominium Association,HOA/Condo Association,Evanston,60201,Cook,,info@cai-illinois.org,(847) 301-7505,Exterior Maintenance for Evanston Terraces Condominium Association,C,"$5,000",https://www.caionline.org/JoinNow/Pages/default.aspx,Condominium association in Evanston,Ready to Send
Optima Towers Evanston Condo Association,HOA/Condo Association,Evanston,60201,Cook,,info@cai-illinois.org,(847) 301-7505,Exterior Maintenance for Optima Towers Evanston Condo Association,C,"$5,000",https://www.caionline.org/JoinNow/Pages/default.aspx,Condominium association in Evanston,Ready to Send
Highland Park Place Condos,HOA/Condo Association,Highland Park,60035,Lake,,,847-926-4208,Exterior Maintenance for Highland Park Place Condos,C,"$5,000",,77-unit condo community built in the mid 1990s; 650 Laurel Avenue,Phone First
Lake Forest Village Association,HOA/Condo Association,Lake Forest,60045,Lake,,info@cai-illinois.org,(847) 301-7505,Exterior Maintenance for Lake Forest Village Association,C,"$5,000",https://www.caionline.org/JoinNow/Pages/default.aspx,Managed by The Highlander Group Inc.,Ready to Send
Lake Barrington Shores HOA,HOA/Condo Association,Lake Barrington,60010,Lake,,,847-382-1660,Exterior Maintenance for Lake Barrington Shores HOA,C,"$5,000",lakebarringtonshores.org,"1,317 condo homes on 510 acres; premier gated community; all ages; active lifestyle community | Managed by: FirstService Residential",Phone First
